File,Frames,Frame Time,Total Duration (seconds)
132/132_52.bvh,1335,0.0083333,11.1249555
35/35_15.bvh,406,0.0083333,3.3833198
122/122_41.bvh,470,0.0083333,3.916651
102/102_32.bvh,305,0.0083333,2.5416565
138/138_35.bvh,909,0.0083333,7.5749697
41/41_10.bvh,3909,0.0083333,32.5748697
55/55_17.bvh,6176,0.0083333,51.4664608
80/80_58.bvh,2352,0.0083333,19.5999216
122/144/144_12.bvh,3319,0.0083333,27.6582227
35/35_21.bvh,161,0.0083333,1.3416613
49/49_17.bvh,750,0.0083333,6.249975
79/79_73.bvh,887,0.0083333,7.3916371
79/79_67.bvh,1262,0.0083333,10.5166246
55/55_20.bvh,4598,0.0083333,38.3165134
06/06_11.bvh,1146,0.0083333,9.5499618
111/111_41.bvh,3697,0.0083333,30.8082101
107/107_09.bvh,626,0.0083333,5.2166458
111/111_06.bvh,1524,0.0083333,12.6999492
16/16_47.bvh,416,0.0083333,3.4666528
06/06_12.bvh,1222,0.0083333,10.1832926
