File,Frames,Frame Time,Total Duration (seconds)
135/135_09.bvh,2150,0.0083333,17.916595
135/135_08.bvh,291,0.0083333,2.4249903
135/135_03.bvh,2749,0.0083333,22.9082417
135/135_02.bvh,5202,0.0083333,43.3498266
135/135_01.bvh,6116,0.0083333,50.9664628
135/135_11.bvh,2446,0.0083333,20.3832518
135/135_05.bvh,2460,0.0083333,20.499918
135/135_04.bvh,1316,0.0083333,10.9666228
135/135_10.bvh,2001,0.0083333,16.6749333
135/135_06.bvh,3261,0.0083333,27.1748913
135/135_07.bvh,1472,0.0083333,12.2666176
61/61_03.bvh,1830,0.0083333,15.249939
61/61_02.bvh,2101,0.0083333,17.5082633
61/61_14.bvh,1949,0.0083333,16.2416017
61/61_15.bvh,2140,0.0083333,17.833262
61/61_01.bvh,2242,0.0083333,18.6832586
61/61_05.bvh,1678,0.0083333,13.9832774
61/61_11.bvh,2108,0.0083333,17.5665964
61/61_10.bvh,1197,0.0083333,9.9749601
61/61_04.bvh,1871,0.0083333,15.5916043
61/61_12.bvh,1690,0.0083333,14.083277
61/61_06.bvh,1772,0.0083333,14.7666076
61/61_07.bvh,2071,0.0083333,17.2582643
61/61_13.bvh,2271,0.0083333,18.9249243
61/61_09.bvh,2575,0.0083333,21.4582475
61/61_08.bvh,3421,0.0083333,28.5082193
132/132_17.bvh,268,0.0083333,2.2333244
132/132_03.bvh,1477,0.0083333,12.3082841
132/132_02.bvh,1141,0.0083333,9.5082953
132/132_16.bvh,9306,0.0083333,77.5496898
132/132_14.bvh,6631,0.0083333,55.2581123
132/132_28.bvh,718,0.0083333,5.9833094000000004
132/132_29.bvh,777,0.0083333,6.4749741
132/132_15.bvh,6545,0.0083333,54.5414485
132/132_01.bvh,1413,0.0083333,11.7749529
132/132_39.bvh,6249,0.0083333,52.0747917
132/132_05.bvh,1316,0.0083333,10.9666228
132/132_11.bvh,1610,0.0083333,13.416613
132/132_10.bvh,1624,0.0083333,13.5332792
132/132_04.bvh,1350,0.0083333,11.249955
132/132_38.bvh,180,0.0083333,1.499994
132/132_12.bvh,1581,0.0083333,13.1749473
132/132_06.bvh,1328,0.0083333,11.0666224
132/132_07.bvh,903,0.0083333,7.5249699
132/132_13.bvh,9514,0.0083333,79.2830162
132/132_48.bvh,1625,0.0083333,13.5416125
132/132_49.bvh,1748,0.0083333,14.5666084
132/132_55.bvh,3095,0.0083333,25.7915635
132/132_41.bvh,6359,0.0083333,52.9914547
132/132_40.bvh,847,0.0083333,7.0583051
132/132_54.bvh,6029,0.0083333,50.2414657
132/132_42.bvh,690,0.0083333,5.749977
132/132_56.bvh,7084,0.0083333,59.0330972
132/132_43.bvh,804,0.0083333,6.6999732
132/132_47.bvh,1510,0.0083333,12.583283
132/132_53.bvh,6502,0.0083333,54.1831166
132/132_52.bvh,1335,0.0083333,11.1249555
132/132_46.bvh,1223,0.0083333,10.1916259
132/132_50.bvh,2139,0.0083333,17.8249287
132/132_44.bvh,5203,0.0083333,43.358159900000004
132/132_45.bvh,1531,0.0083333,12.7582823
132/132_51.bvh,174,0.0083333,1.4499942000000001
132/132_36.bvh,3895,0.0083333,32.4582035
132/132_22.bvh,371,0.0083333,3.0916543
132/132_23.bvh,746,0.0083333,6.2166418
132/132_37.bvh,6731,0.0083333,56.0914423
132/132_21.bvh,354,0.0083333,2.9499882
132/132_35.bvh,1265,0.0083333,10.5416245
132/132_09.bvh,1182,0.0083333,9.8499606
132/132_08.bvh,1453,0.0083333,12.1082849
132/132_34.bvh,517,0.0083333,4.3083161
132/132_20.bvh,342,0.0083333,2.8499886
132/132_18.bvh,425,0.0083333,3.5416525
132/132_24.bvh,739,0.0083333,6.1583087
132/132_30.bvh,783,0.0083333,6.5249739
132/132_31.bvh,718,0.0083333,5.9833094000000004
132/132_25.bvh,556,0.0083333,4.6333148
132/132_19.bvh,271,0.0083333,2.2583243
132/132_33.bvh,411,0.0083333,3.4249863
132/132_27.bvh,727,0.0083333,6.0583091
132/132_26.bvh,637,0.0083333,5.3083121
132/132_32.bvh,644,0.0083333,5.3666452
104/104_02.bvh,885,0.0083333,7.3749705
104/104_16.bvh,327,0.0083333,2.7249891
104/104_17.bvh,465,0.0083333,3.8749845
104/104_03.bvh,1619,0.0083333,13.491612700000001
104/104_15.bvh,208,0.0083333,1.7333264
104/104_01.bvh,385,0.0083333,3.2083205
104/104_29.bvh,480,0.0083333,3.999984
104/104_28.bvh,566,0.0083333,4.7166478
104/104_14.bvh,709,0.0083333,5.9083097
104/104_38.bvh,2669,0.0083333,22.2415777
104/104_10.bvh,334,0.0083333,2.7833222
104/104_04.bvh,198,0.0083333,1.6499934
104/104_05.bvh,489,0.0083333,4.0749837
104/104_11.bvh,539,0.0083333,4.4916487
104/104_39.bvh,3214,0.0083333,26.7832262
104/104_07.bvh,2304,0.0083333,19.1999232
104/104_13.bvh,550,0.0083333,4.583315
104/104_12.bvh,421,0.0083333,3.5083193
104/104_06.bvh,337,0.0083333,2.8083221
104/104_49.bvh,2726,0.0083333,22.7165758
104/104_48.bvh,120,0.0083333,0.999996
104/104_40.bvh,3036,0.0083333,25.2998988
104/104_54.bvh,249,0.0083333,2.0749917
104/104_55.bvh,504,0.0083333,4.1999832
104/104_41.bvh,1558,0.0083333,12.983281400000001
104/104_57.bvh,384,0.0083333,3.1999872
104/104_43.bvh,3377,0.0083333,28.1415541
104/104_42.bvh,2613,0.0083333,21.7749129
104/104_56.bvh,368,0.0083333,3.0666544
104/104_52.bvh,2708,0.0083333,22.5665764
